GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900010020600,Fairfield County,140313,0.5237686139747996,0.003969003969003969
G0900010020700,Fairfield County,143958,0.6013712047012733,0.03566265060240964
G0900010020800,Fairfield County,173750,0.6499493414387031,0.006342494714587738
G0900010020900,Fairfield County,68333,0.4234575087310827,0.05842419255297264
G0900010021000,Fairfield County,106349,0.5401284109149278,0.042599672310213
G0900010021100,Fairfield County,106875,0.49824067558057705,0.08290753255315642
G0900010021200,Fairfield County,133309,0.6379477250726041,0.012679425837320573
G0900010021300,Fairfield County,107358,0.4618149146451033,0.037318435754189944
G0900010021400,Fairfield County,53113,0.2331327889987108,0.18742103046469186
G0900010021500,Fairfield County,45091,0.1585835257890685,0.2125258305515816
G0900010021600,Fairfield County,84225,0.6807486631016043,0.1260358192996525
G0900010021700,Fairfield County,86651,0.626742587865698,0.12137911544439735
G0900010021801,Fairfield County,76982,0.49535405318808073,0.09991099243435692
G0900010021802,Fairfield County,66829,0.33415233415233414,0.08151859703218346
G0900010021900,Fairfield County,59421,0.33820173436786855,0.05807103181282612
G0900010022000,Fairfield County,66250,0.33007334963325186,0.04548267326732673
G0900010022100,Fairfield County,57654,0.2611835153222966,0.14409857328145265
G0900010022200,Fairfield County,74611,0.4939386736391728,0.17347283158960514
G0900010022300,Fairfield County,71168,0.2950574138791812,0.23042385057471265
G0900010022400,Fairfield County,186250,0.7673112913287585,0.03614457831325301
G0900010030100,Fairfield County,250001,0.8240997229916898,0.022982362373062535
G0900010030200,Fairfield County,229500,0.8826454500248633,0.0452449567723343
G0900010030300,Fairfield County,250001,0.9000367511944138,0.010813352139163141
G0900010030400,Fairfield County,152000,0.7085946145333825,0.04556677890011223
G0900010030500,Fairfield County,171875,0.7791654839625319,0.030318602261048305
G0900010035100,Fairfield County,126492,0.6984649122807017,0.030879162945004465
G0900010035200,Fairfield County,250001,0.9169602415702064,0.03095086151882578
G0900010035300,Fairfield County,250001,0.8464106844741235,0.012139605462822459
G0900010035400,Fairfield County,250001,0.8364427860696517,0.04056872037914692
G0900010042500,Fairfield County,128512,0.5381279363932057,0.07444105691056911
G0900010042600,Fairfield County,103516,0.48504640770024066,0.022985664854176965
G0900010042700,Fairfield County,91758,0.49655875605404026,0.025968672712283595
G0900010042800,Fairfield County,103052,0.40460526315789475,0.09885512989872303
G0900010042900,Fairfield County,137083,0.6932103939647947,0.040675844806007506
G0900010043000,Fairfield County,111528,0.5410189982728842,0.10127005347593583
G0900010043100,Fairfield County,132847,0.5298094652735095,0.061611374407582936
G0900010043200,Fairfield County,79107,0.3908094435075885,0.06196999347684279
G0900010043300,Fairfield County,81250,0.3238993710691824,0.05657395701643489
G0900010043400,Fairfield County,63068,0.2927913623372499,0.11378504672897197
G0900010043500,Fairfield County,106964,0.4649073554183043,0.04594820384294068
G0900010043600,Fairfield County,97356,0.39819974282040294,0.07047193877551021
G0900010043700,Fairfield County,67607,0.5179220779220779,0.20525451559934318
G0900010043800,Fairfield County,61559,0.32670237184391737,0.06674224174578433
G0900010043900,Fairfield County,87407,0.4389507892293408,0.0998384491114701
G0900010044000,Fairfield County,48605,0.19600288947748615,0.19596025411304774
G0900010044100,Fairfield County,67500,0.45177434030937214,0.2164705882352941
G0900010044200,Fairfield County,52977,0.3737547234627276,0.11659979939819458
G0900010044300,Fairfield County,95441,0.45803288145370635,0.05881057268722467
G0900010044400,Fairfield County,59375,0.2554552294958615,0.16558049722423365
G0900010044500,Fairfield County,57952,0.16895604395604397,0.16547619047619047
G0900010044600,Fairfield County,196364,0.7732371794871795,0.04336734693877551
